POSTCODE;FLOOD RISK
AL1 1AG;Very low
AL1 1AJ;Low
AL1 1AR;Medium
AL1 1AS;High
AL1 1AT;Very low
AL1 1AU;Low
AL1 1AW;Medium
AL1 1BH;High
AL1 1BX;Very low
AL1 1BY;Low
AL1 1BZ;Medium
AL1 1DG;High
AL1 1DH;Very low
AL1 1DQ;Low
AL1 1DS;Medium
AL1 1DT;High
AL1 1DU;Very low
AL1 1DW;Low
AL1 1DX;Medium
AL1 1DZ;High
AL1 1EA;Very low
AL1 1EB;Low
AL1 1EE;Medium
AL1 1EG;High
AL1 1EQ;Very low
AL1 1ER;Low
AL1 1EU;Medium
AL1 1EX;High
AL1 1EZ;Very low
AL1 1HA;Low
AL1 1HB;Medium
AL1 1HD;High
AL1 1HE;Very low
AL1 1HF;Low
AL1 1HG;Medium
AL1 1HH;High
AL1 1HJ;Very low
AL1 1HL;Low
AL1 1HN;Medium
AL1 1HP;High
AL1 1HQ;Very low
AL1 1HR;Low
AL1 1HU;Medium
AL1 1HW;High
AL1 1HY;Very low
AL1 1JA;Low
AL1 1JB;Medium
AL1 1JD;High
AL1 1JE;Very low
